feature,iou,neuron,weight
education:9th,0.14893617021260752,0,-0.14065255224704742
native-country:?,0.12264150943384657,1,0.16639366745948792
marital-status:Married-spouse-absent,0.1382978723402784,2,-0.18031775951385498
native-country:Mexico,0.11764705882341407,3,-0.15777672827243805
education:Masters,0.10919540229878782,4,0.15086629986763
education:Doctorate,0.1882352941174256,5,0.19059722125530243
native-country:Mexico,0.15151515151499848,6,-0.15295614302158356
relationship:Wife,0.16463414634136303,7,0.20862960815429688
education:Doctorate,0.23170731707288816,8,0.16281428933143616
marital-status:Widowed,0.12307692307682841,9,-0.07624994963407516
race:Asian-Pac-Islander,0.15833333333320138,10,0.08528422564268112
education:11th,0.12587412587403787,11,-0.2322472631931305
workclass:?,0.19411764705870935,12,-0.09980624914169312
education:9th,0.13684210526301385,13,-0.18615493178367615
marital-status:Married-spouse-absent,0.10309278350504836,14,-0.1772148609161377
race:Asian-Pac-Islander,0.19827586206879458,15,0.2031112015247345
education:1st-4th,0.13749999999982812,16,0.1497463881969452
race:Asian-Pac-Islander,0.12096774193538631,17,-0.14129649102687836
workclass:?,0.115384615384552,18,-0.20505575835704803
education:Prof-school,0.2674418604648053,19,0.1637108027935028
workclass:Self-emp-inc,0.36521739130403025,20,0.12443080544471741
race:Asian-Pac-Islander,0.17796610169476443,21,0.13646440207958221
occupation:Protective-serv,0.11320754716970452,22,-0.17662352323532104
native-country:?,0.2934782608692462,23,0.23019513487815857
education:Doctorate,0.24691358024660875,24,0.17660893499851227
capital-gain,0.1761904761903923,25,0.15482433140277863
marital-status:Widowed,0.14062499999989014,26,-0.21916306018829346
workclass:?,0.1215469613258997,27,-0.09322425723075867
education:Prof-school,0.31325301204781536,28,0.11030717939138412
education:11th,0.14999999999989286,29,-0.16878797113895416
relationship:Other-relative,0.13084112149520483,30,-0.16484445333480835
education:Prof-school,0.2674418604648053,31,0.16248776018619537
capital-gain,0.14351851851845207,32,0.20264464616775513
capital-gain,0.14351851851845207,33,0.19958235323429108
education:Doctorate,0.23170731707288816,34,0.19427341222763062
education:Prof-school,0.17204301075250317,35,0.12284743040800095
education:10th,0.13008130081290237,36,-0.08894948661327362
education:11th,0.17518248175169696,37,-0.16384565830230713
education:5th-6th,0.11494252873550007,38,-0.1365741342306137
workclass:Self-emp-not-inc,0.11904761904756236,39,0.13205794990062714
education:10th,0.13008130081290237,40,-0.1044577807188034
education:Masters,0.14880952380943524,41,0.16745494306087494
race:Asian-Pac-Islander,0.14876033057838944,42,-0.13766340911388397
race:Asian-Pac-Islander,0.13934426229496774,43,0.04656188189983368
occupation:Protective-serv,0.1238095238094059,44,-0.1274554580450058
native-country:?,0.2659574468082277,45,0.16166706383228302
race:Asian-Pac-Islander,0.13008130081290237,46,0.243178591132164
education:Prof-school,0.3456790123452522,47,0.15626078844070435
education:Assoc-voc,0.12244897959175345,48,0.19661913812160492
race:Asian-Pac-Islander,0.18803418803402733,49,0.18265461921691895
occupation:Exec-managerial,0.13240418118462285,50,0.17299272119998932
native-country:Mexico,0.16326530612228238,51,-0.20480498671531677
education:5th-6th,0.07777777777769136,52,-0.13203418254852295
capital-gain,0.12272727272721695,53,0.17489023506641388
occupation:Protective-serv,0.20408163265285298,54,0.09709379822015762
native-country:Mexico,0.16326530612228238,55,-0.2161298245191574
workclass:?,0.15340909090900376,56,-0.23175464570522308
capital-gain,0.14351851851845207,57,0.14450189471244812
education:Doctorate,0.17441860465095999,58,0.13916447758674622
education:7th-8th,0.12999999999987,59,-0.02983885444700718
occupation:Farming-fishing,0.11764705882343054,60,-0.21476256847381592
workclass:?,0.19411764705870935,61,-0.13200584053993225
workclass:?,0.24539877300598445,62,-0.15689055621623993
education:Masters,0.16265060240954057,63,0.2421029508113861
