neuron,primitive,iou,weight
0,marital-status:Divorced,0.29842931937167566,-0.0049882386811077595
0,occupation:Handlers-cleaners,0.29842931937167566,-0.0049882386811077595
1,marital-status:Married-civ-spouse,0.3739837398373477,0.21765339374542236
1,education:HS-grad,0.3739837398373477,0.21765339374542236
2,relationship:Own-child,0.3407534246574759,-0.08930757641792297
2,occupation:Transport-moving,0.3407534246574759,-0.08930757641792297
3,relationship:Own-child,0.27474402730370734,-0.11978779733181
3,marital-status:Widowed,0.27474402730370734,-0.11978779733181
4,marital-status:Never-married,0.39724310776937377,-0.19615833461284637
4,marital-status:Widowed,0.39724310776937377,-0.19615833461284637
5,relationship:Husband,0.43094629156004716,0.12209059298038483
5,occupation:Sales,0.43094629156004716,0.12209059298038483
6,education:Masters,0.3898678414096058,0.0522625669836998
6,workclass:?,0.3898678414096058,0.0522625669836998
7,marital-status:Never-married,0.35704323570427376,-0.19312791526317596
7,occupation:Adm-clerical,0.35704323570427376,-0.19312791526317596
8,education-num,0.3384982121572898,0.21826353669166565
8,relationship:Wife,0.3384982121572898,0.21826353669166565
9,relationship:Own-child,0.3507340946165822,-0.14889200031757355
9,workclass:Self-emp-not-inc,0.3507340946165822,-0.14889200031757355
10,marital-status:Never-married,0.36818851251835516,-0.1434612274169922
10,education:Bachelors,0.36818851251835516,-0.1434612274169922
11,relationship:Husband,0.41832669322703603,0.16465610265731812
11,occupation:Craft-repair,0.41832669322703603,0.16465610265731812
12,marital-status:Divorced,0.39970282317973255,-0.11282118409872055
12,relationship:Own-child,0.39970282317973255,-0.11282118409872055
13,education-num,0.3692307692307255,0.027017025277018547
13,workclass:?,0.3692307692307255,0.027017025277018547
14,relationship:Own-child,0.4007782101166535,-0.20672190189361572
14,native-country:?,0.4007782101166535,-0.20672190189361572
15,occupation:Craft-repair,0.32994923857862435,0.11260021477937698
15,capital-gain,0.32994923857862435,0.11260021477937698
16,marital-status:Divorced,0.3613312202852042,-0.1932283639907837
16,occupation:Other-service,0.3613312202852042,-0.1932283639907837
17,relationship:Unmarried,0.3364485981307782,-0.21250726282596588
17,workclass:?,0.3364485981307782,-0.21250726282596588
18,sex:Female,0.3296460176990786,-0.1476495862007141
18,relationship:Own-child,0.3296460176990786,-0.1476495862007141
19,occupation:Other-service,0.2782738095237681,-0.06931068003177643
19,marital-status:Divorced,0.2782738095237681,-0.06931068003177643
20,marital-status:Married-civ-spouse,0.2600364963503412,0.15775318443775177
20,marital-status:Separated,0.2600364963503412,0.15775318443775177
21,education:Bachelors,0.4085470085469387,0.2285842001438141
21,capital-loss,0.4085470085469387,0.2285842001438141
22,marital-status:Divorced,0.3407534246574759,-0.1779078245162964
22,workclass:?,0.3407534246574759,-0.1779078245162964
23,marital-status:Never-married,0.45708582834322214,-0.2158127725124359
23,relationship:Not-in-family,0.45708582834322214,-0.2158127725124359
24,occupation:Exec-managerial,0.5029239766080891,0.06438713520765305
24,workclass:Self-emp-not-inc,0.5029239766080891,0.06438713520765305
25,marital-status:Married-civ-spouse,0.40055248618778994,0.14095857739448547
25,education:HS-grad,0.40055248618778994,0.14095857739448547
26,marital-status:Married-civ-spouse,0.3828016643550093,0.1725473403930664
26,workclass:Private,0.3828016643550093,0.1725473403930664
27,occupation:Prof-specialty,0.3786407766989556,0.13323935866355896
27,education:Masters,0.3786407766989556,0.13323935866355896
28,relationship:Own-child,0.38336052202277593,-0.23160262405872345
28,occupation:Other-service,0.38336052202277593,-0.23160262405872345
29,marital-status:Never-married,0.34065934065929904,-0.1641210913658142
29,marital-status:Separated,0.34065934065929904,-0.1641210913658142
30,marital-status:Married-civ-spouse,0.3842482100238205,0.1859022080898285
30,education:Bachelors,0.3842482100238205,0.1859022080898285
31,marital-status:Married-civ-spouse,0.37799564270148384,0.13250447809696198
